id,text,query,username,permalink,timestamp,media_type,relevance_score,relevance_tier,matched_terms,source_queries,retrieval_sources,searched_at,first_seen_at,last_seen_at,seen_count
3994393132091526217,"有沒有人想看今晚9/26 
Treasure在高雄巨蛋演唱會的？
我有2張橙211區的票，數量有限喔⋯⋯

現場給票～請私訊我▓

非詐騙，黃牛別來亂！

#寶石盒
#TREASURE",演唱會,xiaonainai1491,https://www.threads.com/@xiaonainai1491/post/Ddu72Pzk0xJ,2026-09-26T02:13:09Z,TEXT_POST,60,high,"[""演唱會""]","[""演唱會""]","[""threads_ssr""]",2026-09-26T06:22:49.229741462Z,2026-09-26T06:22:55.288573Z,2026-09-26T06:22:55.288573Z,1
3994411709200686223,"LANY演唱會降售乙張，1000元就好
缺點是必須跟我坐😂😂😂",演唱會,ck231027,https://www.threads.com/@ck231027/post/DdvAElFkVyP,2026-09-26T02:50:03Z,IMAGE,60,high,"[""演唱會""]","[""演唱會""]","[""threads_ssr""]",2026-09-26T06:22:49.229715353Z,2026-09-26T06:22:55.288573Z,2026-09-26T06:22:55.288573Z,1
3994428445832765513,"MAMAMOO 4WARD台北小巨蛋
黃2D區 兩張連號｜3排5號+3排6號
票種：全票+福利券 NT$6,980/張
搶多了🥺 有MOOMOO想要嗎！
位置很前面，視線佳，連號一起看演唱會超香✨
有興趣私訊我，非誠勿擾🙏",演唱會,coo45380,https://www.threads.com/@coo45380/post/DdvD4ISk-BJ,2026-09-26T03:23:18Z,IMAGE,60,high,"[""演唱會""]","[""演唱會""]","[""threads_ssr""]",2026-09-26T06:22:49.229790965Z,2026-09-26T06:22:55.288573Z,2026-09-26T06:22:55.288573Z,1
3994435809470297956,"都已經實名制了 

你黃牛可不可以不要佔流量

真粉都看不到演唱會..

有沒有人跟我一樣沒搶到😩😩",演唱會,_kuokuo1014_,https://www.threads.com/@_kuokuo1014_/post/DdvFjSNk7dk,2026-09-26T03:37:56Z,CAROUSEL_ALBUM,60,high,"[""演唱會""]","[""演唱會""]","[""threads_ssr""]",2026-09-26T06:22:49.229672642Z,2026-09-26T06:22:55.288573Z,2026-09-26T06:22:55.288573Z,1
3994436191227424745,"#售

izna Concert Tour：WHO DAT GIRL? in TAIPEI
有一樓$4280兩張，序號8XX（XX小於10）

票是從別人那邊收來的，有購證，匯款後可以直接給您對方的帳號去對接，演唱會前五天給取票序號

如果有需要的話有手燈可以租借
手燈圈可賣（全新）

求售當天有事情無法去看演唱會🥲",演唱會,shjzjxmxoia_,https://www.threads.com/@shjzjxmxoia_/post/DdvFo1wEy_p,2026-09-26T03:38:42Z,TEXT_POST,60,high,"[""演唱會""]","[""演唱會""]","[""threads_ssr""]",2026-09-26T06:22:49.229667773Z,2026-09-26T06:22:55.288573Z,2026-09-26T06:22:55.288573Z,1
3994442045955680474,"#讓售
原本今晚要去的演唱會
男友感冒了🥺
售兩張，一張1500$
真的不是詐騙！
跪求脆神了！",演唱會,jennnnnnn.h,https://www.threads.com/@jennnnnnn.h/post/DdvG-CZEqja,2026-09-26T03:50:20Z,IMAGE,60,high,"[""演唱會""]","[""演唱會""]","[""threads_ssr""]",2026-09-26T06:22:49.229731613Z,2026-09-26T06:22:55.288573Z,2026-09-26T06:22:55.288573Z,1
3994443779771871809,"#讓票#MAMAMOO台北演唱會門票
 特1區 6980*2 可拆
只讓給真正需要的粉絲 粉絲原價
黃牛勿擾 謝謝🙏￼",演唱會,turtle.46428141,https://www.threads.com/@turtle.46428141/post/DdvHXRIkjJB,2026-09-26T03:53:46Z,IMAGE,60,high,"[""演唱會""]","[""演唱會""]","[""threads_ssr""]",2026-09-26T06:22:49.229684725Z,2026-09-26T06:22:55.288573Z,2026-09-26T06:22:55.288573Z,1
3994459593481647416,"更新～今天早上請家人買到💙🩷各一想換🖤，有點盒損，因為早上太激烈了🫠🫠
求換🖤
高雄台南面交優先或高雄演唱會面交",演唱會,yee_foodielife,https://www.threads.com/@yee_foodielife/post/DdvK9YzH_U4,2026-09-26T04:25:12Z,TEXT_POST,60,high,"[""演唱會""]","[""演唱會""]","[""threads_ssr""]",2026-09-26T06:22:49.229747764Z,2026-09-26T06:22:55.288573Z,2026-09-26T06:22:55.288573Z,1
3994472841248680892,"#讓票#售票 MAMAMOO演唱會門票 台北場
第一次幫朋友搶到熱門的門票😭
結果她自己也有搶到了🥹
多兩張 原價讓 6980*2 可拆
只限粉絲～￼",演唱會,gazelle.3404296,https://www.threads.com/@gazelle.3404296/post/DdvN-Kvkqu8,2026-09-26T04:51:31Z,IMAGE,60,high,"[""演唱會""]","[""演唱會""]","[""threads_ssr""]",2026-09-26T06:22:49.229690135Z,2026-09-26T06:22:55.288573Z,2026-09-26T06:22:55.288573Z,1
3994488793848435966,"原價讓
MAMAMOO演唱會門票🎫
幫女兒有多搶一張，還有人想要的嗎？",演唱會,xhsg353836,https://www.threads.com/@xhsg353836/post/DdvRmTwnVT-,2026-09-26T05:23:12Z,IMAGE,60,high,"[""演唱會""]","[""演唱會""]","[""threads_ssr""]",2026-09-26T06:22:49.229783902Z,2026-09-26T06:22:55.288573Z,2026-09-26T06:22:55.288573Z,1
